,Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
681,Lasse Kjus,31,2002,02/24/2002,0,1,1,2
682,Bode Miller,24,2002,02/24/2002,0,2,0,2
683,Anja Pärson,20,2002,02/24/2002,0,1,1,2
684,Benjamin Raich,23,2002,02/24/2002,0,0,2,2
685,Ki Bo-Bae,24,2012,08/12/2012,2,0,0,2
686,Oh Jin-Hyek,30,2012,08/12/2012,1,0,1,2
687,Park Gyeong-Mo,32,2008,08/24/2008,1,1,0,2
688,Park Seong-Hyeon,25,2008,08/24/2008,1,1,0,2
689,Yun Ok-Hui,23,2008,08/24/2008,1,0,1,2
690,Zhang Juanjuan,27,2008,08/24/2008,1,1,0,2
691,Lee Seong-Jin,19,2004,08/29/2004,1,1,0,2
692,Park Seong-Hyeon,21,2004,08/29/2004,2,0,0,2
693,Kim Nam-Sun,20,2000,10/01/2000,1,1,0,2
694,Kim Su-Nyeong,29,2000,10/01/2000,1,0,1,2
695,Vic Wunderle,24,2000,10/01/2000,0,1,1,2
696,Yun Mi-Jin,17,2000,10/01/2000,2,0,0,2
697,Artur Aleksanyan,20,2012,08/12/2012,0,0,1,1
698,Valeriy Andriitsev,25,2012,08/12/2012,0,1,0,1
699,Rövs?n Bayramov,25,2012,08/12/2012,0,1,0,1
700,Jordan Burroughs,24,2012,08/12/2012,1,0,0,1
701,Clarissa Chun,30,2012,08/12/2012,0,0,1,1
702,Yogeshwar Dutt,29,2012,08/12/2012,0,0,1,1
703,Jaime Espinal,27,2012,08/12/2012,0,1,0,1
704,Johan Eurén,27,2012,08/12/2012,0,0,1,1
705,Karam Gaber,32,2012,08/12/2012,0,1,0,1
706,Daniyal Gadzhiyev,26,2012,08/12/2012,0,0,1,1
707,Komeil Ghasemi,24,2012,08/12/2012,0,0,1,1
708,Giorgi Gogshelidze,32,2012,08/12/2012,0,0,1,1
709,Sadegh Goudarzi,24,2012,08/12/2012,0,1,0,1
710,Steeve Guénot,26,2012,08/12/2012,0,0,1,1
711,Carol Huynh,31,2012,08/12/2012,0,0,1,1
712,Kaori Icho,28,2012,08/12/2012,1,0,0,1
713,Damian Janikowski,23,2012,08/12/2012,0,0,1,1
714,Jing Ruixue,24,2012,08/12/2012,0,1,0,1
715,Arsen Julfalakyan,25,2012,08/12/2012,0,1,0,1
716,Riza Kayaalp,22,2012,08/12/2012,0,0,1,1
717,Aleksandras Kazakevicius,26,2012,08/12/2012,0,0,1,1
718,Vladimer Khinchegashvili,21,2012,08/12/2012,0,1,0,1
719,Alan Khugayev,23,2012,08/12/2012,1,0,0,1
720,Kim Hyeon-Wu,23,2012,08/12/2012,1,0,0,1
721,Besik Kudukhov,25,2012,08/12/2012,0,1,0,1
722,Sushil Kumar,29,2012,08/12/2012,0,1,0,1
723,Zaur Kuramagomedov,24,2012,08/12/2012,0,0,1,1
724,Ehsan Naser Lashgari,26,2012,08/12/2012,0,0,1,1
725,Revaz Lashkhi,24,2012,08/12/2012,0,1,0,1
726,Jimmy Lidberg,30,2012,08/12/2012,0,0,1,1
727,Liván López,30,2012,08/12/2012,0,0,1,1
728,Mijaín López,29,2012,08/12/2012,1,0,0,1
729,Tamás Lorincz,25,2012,08/12/2012,0,1,0,1
