,Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
2113,Yevgeny Korotyshkin,29,2012,08/12/2012,0,1,0,1
2114,Yolane Kukla,16,2012,08/12/2012,1,0,0,1
2115,Yevgeny Lagunov,26,2012,08/12/2012,0,0,1,1
2116,Breeja Larson,20,2012,08/12/2012,1,0,0,1
2117,Mylene Lazare,24,2012,08/12/2012,0,0,1,1
2118,Katie Ledecky,15,2012,08/12/2012,1,0,0,1
2119,Libby Lenton-Trickett,27,2012,08/12/2012,1,0,0,1
2120,Caitlin Leverenz,21,2012,08/12/2012,0,0,1,1
2121,Jason Lezak,36,2012,08/12/2012,0,1,0,1
2122,Li Xuanxu,18,2012,08/12/2012,0,0,1,1
2123,Li Yunqi,18,2012,08/12/2012,0,0,1,1
2124,Nikita Lobintsev,23,2012,08/12/2012,0,0,1,1
2125,Lu Ying,23,2012,08/12/2012,0,1,0,1
2126,Lu Zhiwu,23,2012,08/12/2012,0,0,1,1
2127,Thomas Lurz,32,2012,08/12/2012,0,1,0,1
2128,Grégory Mallet,28,2012,08/12/2012,0,1,0,1
2129,Florent Manaudou,21,2012,08/12/2012,1,0,0,1
2130,Tyler McGill,24,2012,08/12/2012,1,0,0,1
2131,Matt McLean,24,2012,08/12/2012,1,0,0,1
2132,Ruta Meilutyte,15,2012,08/12/2012,1,0,0,1
2133,Vladimir Morozov,20,2012,08/12/2012,0,0,1,1
2134,Lia Neal,17,2012,08/12/2012,0,0,1,1
2135,Jade Neilsen,21,2012,08/12/2012,0,1,0,1
2136,Kylie Palmer,22,2012,08/12/2012,0,1,0,1
2137,Lauren Perdue,21,2012,08/12/2012,1,0,0,1
2138,Thiago Pereira,26,2012,08/12/2012,0,1,0,1
2139,Brenton Rickard,28,2012,08/12/2012,0,0,1,1
2140,Éva Risztov,26,2012,08/12/2012,1,0,0,1
2141,Hinkelien Schreuder,28,2012,08/12/2012,0,1,0,1
2142,Eric Shanteau,28,2012,08/12/2012,1,0,0,1
2143,Hayden Stoeckel,27,2012,08/12/2012,0,0,1,1
2144,Tang Yi,19,2012,08/12/2012,0,0,1,1
2145,Matt Targett,26,2012,08/12/2012,0,0,1,1
2146,Davis Tarwater,28,2012,08/12/2012,1,0,0,1
2147,Ryo Tateishi,23,2012,08/12/2012,0,0,1,1
2148,Haruka Ueda,24,2012,08/12/2012,0,0,1,1
2149,Cameron van der Burgh,24,2012,08/12/2012,1,0,0,1
2150,Peter Vanderkaay,28,2012,08/12/2012,0,0,1,1
2151,Shannon Vreeland,20,2012,08/12/2012,1,0,0,1
2152,Richard Weinberger,22,2012,08/12/2012,0,0,1,1
2153,Amanda Weir,26,2012,08/12/2012,0,0,1,1
2154,Yuliya Yefimova,20,2012,08/12/2012,0,0,1,1
2155,Anastasiya Zuyeva,22,2012,08/12/2012,0,1,0,1
2156,Nathan Adrian,19,2008,08/24/2008,1,0,0,1
2157,Angie Bainbridge,18,2008,08/24/2008,1,0,0,1
2158,Bronte Barratt,19,2008,08/24/2008,1,0,0,1
2159,Ricky Berens,20,2008,08/24/2008,1,0,0,1
2160,Fréd Bousquet,27,2008,08/24/2008,0,1,0,1
2161,Elaine Breeden,19,2008,08/24/2008,0,1,0,1
2162,Grant Brits,21,2008,08/24/2008,0,0,1,1
2163,Caroline Burckle,22,2008,08/24/2008,0,0,1,1
2164,Ashley Callus,29,2008,08/24/2008,0,0,1,1
2165,Milorad Cavic,24,2008,08/24/2008,0,1,0,1
2166,Ryan Cochrane,19,2008,08/24/2008,0,0,1,1
2167,Ian Crocker,25,2008,08/24/2008,1,0,0,1
2168,Lara Davenport,24,2008,08/24/2008,1,0,0,1
2169,Dave Davies,23,2008,08/24/2008,0,1,0,1
2170,Inge Dekker,22,2008,08/24/2008,1,0,0,1
2171,Ash Delaney,22,2008,08/24/2008,0,1,0,1
2172,Nick Ffrost,21,2008,08/24/2008,0,0,1,1
2173,Alessia Filippi,21,2008,08/24/2008,0,1,0,1
2174,Lotte Friis,20,2008,08/24/2008,0,0,1,1
2175,Takuro Fujii,23,2008,08/24/2008,0,0,1,1
2176,Mark Gangloff,26,2008,08/24/2008,1,0,0,1
2177,Fabien Gilot,24,2008,08/24/2008,0,1,0,1
2178,Brendan Hansen,27,2008,08/24/2008,1,0,0,1
2179,Femke Heemskerk,20,2008,08/24/2008,1,0,0,1
2180,Lara Ilchenko,19,2008,08/24/2008,1,0,0,1
2181,Sara Isakovic,20,2008,08/24/2008,0,1,0,1
2182,Dan Izotov,16,2008,08/24/2008,0,1,0,1
2183,Jo Jackson,21,2008,08/24/2008,0,0,1,1
2184,Larsen Jensen,22,2008,08/24/2008,0,0,1,1
2185,Jiao Liuyang,18,2008,08/24/2008,0,1,0,1
2186,Cullen Jones,24,2008,08/24/2008,1,0,0,1
2187,Mirna Jukic,22,2008,08/24/2008,0,0,1,1
2188,Klete Keller,26,2008,08/24/2008,1,0,0,1
2189,Ranomi Kromowidjojo,17,2008,08/24/2008,1,0,0,1
2190,Yevgeny Lagunov,22,2008,08/24/2008,0,1,0,1
2191,Liu Zige,19,2008,08/24/2008,1,0,0,1
2192,Nikita Lobintsev,19,2008,08/24/2008,0,1,0,1
2193,Thomas Lurz,28,2008,08/24/2008,0,0,1,1
2194,Linda MacKenzie,24,2008,08/24/2008,1,0,0,1
2195,Grégory Mallet,24,2008,08/24/2008,0,1,0,1
2196,Christine Marshall,22,2008,08/24/2008,0,0,1,1
2197,Takeshi Matsuda,24,2008,08/24/2008,0,0,1,1
2198,Oussama Mellouli,24,2008,08/24/2008,1,0,0,1
2199,Alice Mills,22,2008,08/24/2008,0,0,1,1
2200,Junichi Miyashita,24,2008,08/24/2008,0,0,1,1
2201,Reiko Nakamura,26,2008,08/24/2008,0,0,1,1
2202,Sara Nordenstam,25,2008,08/24/2008,0,0,1,1
2203,Lacey Nymeyer,22,2008,08/24/2008,0,1,0,1
2204,Alexander Dale Oen,23,2008,08/24/2008,0,1,0,1
2205,Kirk Palmer,21,2008,08/24/2008,0,0,1,1
2206,Kylie Palmer,18,2008,08/24/2008,1,0,0,1
2207,Cassie Patten,21,2008,08/24/2008,0,0,1,1
2208,Keri-Anne Payne,20,2008,08/24/2008,0,1,0,1
2209,Federica Pellegrini,20,2008,08/24/2008,1,0,0,1
2210,Adam Pine,32,2008,08/24/2008,0,1,0,1
2211,Mikhail Polishchuk,19,2008,08/24/2008,0,1,0,1
2212,Megan Quann-Jendrick,24,2008,08/24/2008,0,1,0,1
2213,Hisayoshi Sato,21,2008,08/24/2008,0,0,1,1
2214,Allison Schmitt,18,2008,08/24/2008,0,0,1,1
2215,Hinkelien Schreuder,24,2008,08/24/2008,1,0,0,1
2216,Emily Seebohm,16,2008,08/24/2008,1,0,0,1
2217,Emily Silver,22,2008,08/24/2008,0,1,0,1
2218,Christian Sprenger,22,2008,08/24/2008,0,1,0,1
2219,Boris Steimetz,21,2008,08/24/2008,0,1,0,1
2220,Aleksandr Sukhorukov,20,2008,08/24/2008,0,1,0,1
2221,Sun Ye,19,2008,08/24/2008,0,0,1,1
2222,Tan Miao,21,2008,08/24/2008,0,1,0,1
2223,Tang Jingzhi,21,2008,08/24/2008,0,1,0,1
2224,Maarten van der Weijden,27,2008,08/24/2008,1,0,0,1
2225,Manon van Rooijen,26,2008,08/24/2008,1,0,0,1
2226,Kim Vandenberg,24,2008,08/24/2008,0,0,1,1
2227,Marleen Veldhuis,29,2008,08/24/2008,1,0,0,1
2228,Erik Vendt,27,2008,08/24/2008,1,0,0,1
2229,Dave Walters,20,2008,08/24/2008,1,0,0,1
2230,Tarnee White,27,2008,08/24/2008,1,0,0,1
2231,Ben Wildman-Tobriner,23,2008,08/24/2008,1,0,0,1
2232,Xu Tianlongzi,17,2008,08/24/2008,0,0,1,1
2233,Yang Yu,23,2008,08/24/2008,0,1,0,1
2234,Zhang Lin,21,2008,08/24/2008,0,1,0,1
2235,Zhao Jing,17,2008,08/24/2008,0,0,1,1
2236,Zhou Yafei,24,2008,08/24/2008,0,0,1,1
2237,Zhu Qianwei,17,2008,08/24/2008,0,1,0,1
2238,Georgina Bardach,20,2004,08/29/2004,0,0,1,1
2239,George Bovell,21,2004,08/29/2004,0,0,1,1
2240,Emiliano Brembilla,25,2004,08/29/2004,0,0,1,1
2241,Federico Cappellazzo,23,2004,08/29/2004,0,0,1,1
2242,Simone Cercato,29,2004,08/29/2004,0,0,1,1
2243,Lars Conrad,28,2004,08/29/2004,0,1,0,1
2244,Haley Cope,25,2004,08/29/2004,0,1,0,1
2245,Ritz Correia,22,2004,08/29/2004,0,1,0,1
2246,László Cseh Jr.,18,2004,08/29/2004,0,0,1,1
2247,Petra Dallmann,25,2004,08/29/2004,0,0,1,1
2248,Dave Davies,19,2004,08/29/2004,0,0,1,1
2249,Inge Dekker,18,2004,08/29/2004,0,0,1,1
2250,Duje Draganja,21,2004,08/29/2004,0,1,0,1
2251,Steffen Driesen,22,2004,08/29/2004,0,1,0,1
2252,Hugues Duboscq,22,2004,08/29/2004,0,0,1,1
2253,Nate Dusing,25,2004,08/29/2004,0,0,1,1
2254,Lyndon Ferns,20,2004,08/29/2004,1,0,0,1
2255,Solenne Figuès,25,2004,08/29/2004,0,0,1,1
2256,Razvan Florea,23,2004,08/29/2004,0,0,1,1
2257,Mark Gangloff,22,2004,08/29/2004,1,0,0,1
2258,Scott Goldblatt,25,2004,08/29/2004,1,0,0,1
2259,Daniela Götz,16,2004,08/29/2004,0,0,1,1
2260,Janina-Kristin Götz,23,2004,08/29/2004,0,0,1,1
2261,Chantal Groot,21,2004,08/29/2004,0,0,1,1
2262,Dániel Gyurta,15,2004,08/29/2004,0,1,0,1
2263,Sara Harstick,22,2004,08/29/2004,0,0,1,1
2264,Rhi Jeffrey,17,2004,08/29/2004,1,0,0,1
2265,Larsen Jensen,18,2004,08/29/2004,0,1,0,1
2266,Johan Kenkhuis,24,2004,08/29/2004,0,1,0,1
2267,Dan Ketchum,22,2004,08/29/2004,1,0,0,1
2268,Tara Kirk,22,2004,08/29/2004,0,1,0,1
2269,Michael Klim,27,2004,08/29/2004,0,1,0,1
2270,Stanislava Komarova,18,2004,08/29/2004,0,1,0,1
2271,Annabel Kosten,27,2004,08/29/2004,0,0,1,1
2272,Lenny Krayzelburg,28,2004,08/29/2004,1,0,0,1
2273,Jens Kruppa,28,2004,08/29/2004,0,1,0,1
2274,Colleen Lanne,24,2004,08/29/2004,0,1,0,1
2275,Li Ji,18,2004,08/29/2004,0,1,0,1
2276,Luo Xuejuan,20,2004,08/29/2004,1,0,0,1
2277,Filippo Magnini,22,2004,08/29/2004,0,0,1,1
2278,Antony Matkovich,27,2004,08/29/2004,0,1,0,1
2279,Helge Meeuw,19,2004,08/29/2004,0,1,0,1
2280,Malia Metella,22,2004,08/29/2004,0,1,0,1
2281,Diana Munz,22,2004,08/29/2004,0,0,1,1
2282,Reiko Nakamura,22,2004,08/29/2004,0,0,1,1
2283,Yuko Nakanishi,23,2004,08/29/2004,0,0,1,1
2284,Ryk Neethling,26,2004,08/29/2004,1,0,0,1
2285,Yoshihiro Okumura,21,2004,08/29/2004,0,0,1,1
2286,Pang Jiaying,19,2004,08/29/2004,0,1,0,1
2287,Steve Parry,27,2004,08/29/2004,0,0,1,1
2288,Todd Pearson,26,2004,08/29/2004,0,1,0,1
2289,Federica Pellegrini,16,2004,08/29/2004,0,1,0,1
2290,Matteo Pelliciari,25,2004,08/29/2004,0,0,1,1
2291,Carly Piper,20,2004,08/29/2004,1,0,0,1
2292,Sarah Poewe,21,2004,08/29/2004,0,0,1,1
2293,Anne Poleska,24,2004,08/29/2004,0,0,1,1
2294,Camelia Potec,22,2004,08/29/2004,1,0,0,1
2295,Giaan Rooney,21,2004,08/29/2004,1,0,0,1
2296,Massimiliano Rosolino,26,2004,08/29/2004,0,0,1,1
2297,Thomas Rupprath,27,2004,08/29/2004,0,1,0,1
2298,Sarah Ryan,27,2004,08/29/2004,1,0,0,1
2299,Jess Schipper,17,2004,08/29/2004,1,0,0,1
2300,Andriy Serdinov,21,2004,08/29/2004,0,0,1,1
2301,Ai Shibata,22,2004,08/29/2004,1,0,0,1
2302,Nicholas Sprenger,19,2004,08/29/2004,0,1,0,1
2303,Craig Stevens,24,2004,08/29/2004,0,1,0,1
2304,Hannah Stockbauer,22,2004,08/29/2004,0,0,1,1
2305,Darian Townsend,19,2004,08/29/2004,1,0,0,1
2306,Peter Vanderkaay,20,2004,08/29/2004,1,0,0,1
2307,Mark Veens,26,2004,08/29/2004,0,1,0,1
2308,Marleen Veldhuis,25,2004,08/29/2004,0,0,1,1
2309,Erik Vendt,23,2004,08/29/2004,0,1,0,1
2310,Dana Vollmer,16,2004,08/29/2004,1,0,0,1
2311,Gabe Woodward,25,2004,08/29/2004,0,0,1,1
2312,Xu Yanwei,20,2004,08/29/2004,0,1,0,1
2313,Yang Yu,19,2004,08/29/2004,0,1,0,1
2314,Mitja Zastrow,27,2004,08/29/2004,0,1,0,1
2315,Zhu Yingwen,22,2004,08/29/2004,0,1,0,1
2316,Klaas-Erik Zwering,23,2004,08/29/2004,0,1,0,1
2317,Sam Arsenault,18,2000,10/01/2000,1,0,0,1
2318,Amanda Beard,18,2000,10/01/2000,0,0,1,1
2319,B. J. Bedford,27,2000,10/01/2000,1,0,0,1
2320,Lindsay Benko,23,2000,10/01/2000,1,0,0,1
2321,Kim Black,21,2000,10/01/2000,1,0,0,1
2322,Gustavo Borges,27,2000,10/01/2000,0,0,1,1
2323,Antje Buschschulte,21,2000,10/01/2000,0,0,1,1
2324,Ashley Callus,21,2000,10/01/2000,1,0,0,1
2325,Dyana Calub,24,2000,10/01/2000,0,1,0,1
2326,Chad Carvin,26,2000,10/01/2000,0,1,0,1
2327,Ian Crocker,18,2000,10/01/2000,1,0,0,1
2328,Nate Dusing,21,2000,10/01/2000,0,1,0,1
2329,Meike Freitag,21,2000,10/01/2000,0,0,1,1
2330,Lars Frölander,26,2000,10/01/2000,1,0,0,1
2331,Chris Fydler,27,2000,10/01/2000,1,0,0,1
2332,Scott Goldblatt,21,2000,10/01/2000,0,1,0,1
2333,Elka Graham,18,2000,10/01/2000,0,1,0,1
2334,Chantal Groot,17,2000,10/01/2000,0,1,0,1
2335,Tommy Hannan,20,2000,10/01/2000,1,0,0,1
2336,Regan Harrison,22,2000,10/01/2000,0,1,0,1
2337,Sara Harstick,19,2000,10/01/2000,0,0,1,1
2338,Thamar Henneken,21,2000,10/01/2000,0,1,0,1
2339,Penny Heyns,25,2000,10/01/2000,0,0,1,1
2340,Misty Hyman,21,2000,10/01/2000,1,0,0,1
2341,Carlos Jayme,20,2000,10/01/2000,0,0,1,1
2342,Louise Jöhncke,24,2000,10/01/2000,0,0,1,1
2343,Anna-Karin Kammerling,19,2000,10/01/2000,0,0,1,1
2344,Johan Kenkhuis,20,2000,10/01/2000,0,0,1,1
2345,Kerstin Kielgaß,30,2000,10/01/2000,0,0,1,1
2346,Bill Kirby,25,2000,10/01/2000,1,0,0,1
2347,Ágnes Kovács,19,2000,10/01/2000,1,0,0,1
2348,Kristy Kowal,21,2000,10/01/2000,0,1,0,1
2349,Daniel Kowalski,25,2000,10/01/2000,1,0,0,1
2350,Jens Kruppa,24,2000,10/01/2000,0,0,1,1
2351,Josefin Lillhage,20,2000,10/01/2000,0,0,1,1
2352,Tom Malchow,24,2000,10/01/2000,1,0,0,1
2353,Roxana Maracineanu,25,2000,10/01/2000,0,1,0,1
2354,Sumika Minamoto,21,2000,10/01/2000,0,0,1,1
2355,Ryan Mitchell,23,2000,10/01/2000,0,1,0,1
2356,Curtis Myden,26,2000,10/01/2000,0,0,1,1
2357,Miki Nakao,22,2000,10/01/2000,0,0,1,1
2358,Justin Norris,20,2000,10/01/2000,0,0,1,1
2359,Junko Onishi,25,2000,10/01/2000,0,0,1,1
2360,Terence Parkin,20,2000,10/01/2000,0,1,0,1
2361,Aaron Peirsol,17,2000,10/01/2000,0,1,0,1
2362,Kieren Perkins,27,2000,10/01/2000,0,1,0,1
2363,Erin Phenix,19,2000,10/01/2000,1,0,0,1
2364,Aleksandr Popov,28,2000,10/01/2000,0,1,0,1
2365,Jamie Rauch,21,2000,10/01/2000,0,1,0,1
2366,Davide Rummolo,22,2000,10/01/2000,0,0,1,1
2367,Thomas Rupprath,23,2000,10/01/2000,0,0,1,1
2368,Sarah Ryan,23,2000,10/01/2000,0,1,0,1
2369,Kaitlin Sandeno,17,2000,10/01/2000,0,0,1,1
2370,Xuxa Scherer,25,2000,10/01/2000,0,0,1,1
2371,Edvaldo Silva Filho,22,2000,10/01/2000,0,0,1,1
2372,Johanna Sjöberg,22,2000,10/01/2000,0,0,1,1
2373,Roman Sludnov,20,2000,10/01/2000,0,0,1,1
2374,Torsten Spanneberg,25,2000,10/01/2000,0,0,1,1
2375,Britta Steffen,16,2000,10/01/2000,0,0,1,1
2376,Staciana Stitts,19,2000,10/01/2000,1,0,0,1
2377,Julia Stowers,18,2000,10/01/2000,1,0,0,1
2378,Malin Svahnström,20,2000,10/01/2000,0,0,1,1
2379,Denys Sylantiev,23,2000,10/01/2000,0,1,0,1
2380,Yasuko Tajima,19,2000,10/01/2000,0,1,0,1
2381,Masami Tanaka,21,2000,10/01/2000,0,0,1,1
2382,Cristina Teuscher,22,2000,10/01/2000,0,0,1,1
2383,Chris Thompson,21,2000,10/01/2000,0,0,1,1
2384,Kirsten Thomson,16,2000,10/01/2000,0,1,0,1
2385,Scott Tucker,24,2000,10/01/2000,0,1,0,1
2386,Franziska van Almsick,22,2000,10/01/2000,0,0,1,1
2387,Mark van der Zijden,26,2000,10/01/2000,0,0,1,1
2388,Jacinta Van Lint,22,2000,10/01/2000,0,1,0,1
2389,Wilma van Rijn-van Hofwegen,29,2000,10/01/2000,0,1,0,1
2390,Manon van Rooijen,18,2000,10/01/2000,0,1,0,1
2391,Erik Vendt,19,2000,10/01/2000,0,1,0,1
2392,Josh Watson,23,2000,10/01/2000,0,1,0,1
2393,Tarnee White,19,2000,10/01/2000,0,1,0,1
2394,Tom Wilkens,24,2000,10/01/2000,0,0,1,1
2395,Marcel Wouda,28,2000,10/01/2000,0,0,1,1
2396,Nina Zhivanevskaya,23,2000,10/01/2000,0,0,1,1
2397,Martijn Zuijdweg,23,2000,10/01/2000,0,0,1,1
2398,Guillaume Bastille,24,2010,02/28/2010,1,0,0,1
2399,Allison Baver,29,2010,02/28/2010,0,0,1,1
2400,Simon Cho,18,2010,02/28/2010,0,0,1,1
2401,Kimberly Derrick,24,2010,02/28/2010,0,0,1,1
2402,Aly Dudek,19,2010,02/28/2010,0,0,1,1
2403,Arianna Fontana,19,2010,02/28/2010,0,0,1,1
2404,Lana Gehring,19,2010,02/28/2010,0,0,1,1
2405,Jessica Gregg,21,2010,02/28/2010,0,1,0,1
2406,Gwak Yun-Gi,20,2010,02/28/2010,0,1,0,1
2407,François Hamelin,23,2010,02/28/2010,1,0,0,1
2408,Travis Jayner,27,2010,02/28/2010,0,0,1,1
2409,Olivier Jean,25,2010,02/28/2010,1,0,0,1
2410,Kim Seong-Il,19,2010,02/28/2010,0,1,0,1
2411,Lee Eun-Byeol,18,2010,02/28/2010,0,1,0,1
2412,Jordan Malone,25,2010,02/28/2010,0,0,1,1
2413,Kalyna Roberge,23,2010,02/28/2010,0,1,0,1
2414,Sun Linlin,21,2010,02/28/2010,1,0,0,1
2415,Tania Vicent,34,2010,02/28/2010,0,1,0,1
2416,Zhang Hui,21,2010,02/28/2010,1,0,0,1
2417,Éric Bédard,29,2006,02/26/2006,0,1,0,1
2418,Byeon Cheon-Sa,18,2006,02/26/2006,1,0,0,1
2419,Marta Capurso,25,2006,02/26/2006,0,0,1,1
2420,Arianna Fontana,15,2006,02/26/2006,0,0,1,1
2421,Gang Yun-Mi,18,2006,02/26/2006,1,0,0,1
2422,Jonathan Guilmette,27,2006,02/26/2006,0,1,0,1
2423,Charles Hamelin,21,2006,02/26/2006,0,1,0,1
2424,Alex Izykowski,22,2006,02/26/2006,0,0,1,1
2425,Jeon Da-Hye,22,2006,02/26/2006,1,0,0,1
2426,J. P. Kepka,21,2006,02/26/2006,0,0,1,1
2427,Alanna Kraus,28,2006,02/26/2006,0,1,0,1
2428,Li Jiajun,30,2006,02/26/2006,0,0,1,1
2429,O Se-Jong,23,2006,02/26/2006,1,0,0,1
2430,Amanda Overland,24,2006,02/26/2006,0,1,0,1
2431,Evgeniya Radanova,28,2006,02/26/2006,0,1,0,1
2432,Kalyna Roberge,19,2006,02/26/2006,0,1,0,1
2433,Seo Ho-Jin,22,2006,02/26/2006,1,0,0,1
2434,Rusty Smith,26,2006,02/26/2006,0,0,1,1
2435,Song Seog-U,22,2006,02/26/2006,1,0,0,1
2436,Mathieu Turcotte,29,2006,02/26/2006,0,1,0,1
2437,Tania Vicent,30,2006,02/26/2006,0,1,0,1
2438,Yang Yang (A),29,2006,02/26/2006,0,0,1,1
2439,Katia Zini,24,2006,02/26/2006,0,0,1,1
2440,Mara Zini,26,2006,02/26/2006,0,0,1,1
2441,An Yulong,23,2002,02/24/2002,0,0,1,1
2442,Michele Antonioli,25,2002,02/24/2002,0,1,0,1
2443,Éric Bédard,25,2002,02/24/2002,1,0,0,1
2444,Steven Bradbury,28,2002,02/24/2002,1,0,0,1
2445,Maurizio Carnino,26,2002,02/24/2002,0,1,0,1
2446,Fabio Carta,24,2002,02/24/2002,0,1,0,1
2447,Isabelle Charest,31,2002,02/24/2002,0,0,1,1
2448,Choi Min-Kyung,19,2002,02/24/2002,1,0,0,1
2449,Marie-Eve Drolet,20,2002,02/24/2002,0,0,1,1
2450,Feng Kai,23,2002,02/24/2002,0,0,1,1
2451,Nicola Franceschina,24,2002,02/24/2002,0,1,0,1
2452,Amélie Goulet-Nadon,19,2002,02/24/2002,0,0,1,1
2453,Guo Wei,18,2002,02/24/2002,0,0,1,1
2454,Ju Min-Jin,18,2002,02/24/2002,1,0,0,1
2455,Alanna Kraus,24,2002,02/24/2002,0,0,1,1
2456,Li Ye,18,2002,02/24/2002,0,0,1,1
2457,Park Hye-Won,18,2002,02/24/2002,1,0,0,1
2458,Nicola Rodigari,20,2002,02/24/2002,0,1,0,1
2459,Rusty Smith,22,2002,02/24/2002,0,0,1,1
2460,Sun Dandan,23,2002,02/24/2002,0,1,0,1
2461,François-Louis Tremblay,21,2002,02/24/2002,1,0,0,1
2462,Tania Vicent,26,2002,02/24/2002,0,0,1,1
2463,Daniela Anschütz-Thoms,35,2010,02/28/2010,1,0,0,1
2464,Jan Blokhuijsen,20,2010,02/28/2010,0,0,1,1
2465,Håvard Bøkko,23,2010,02/28/2010,0,0,1,1
2466,Bob de Jong,33,2010,02/28/2010,0,0,1,1
2467,Anni Friesinger-Postma,33,2010,02/28/2010,1,0,0,1
2468,Annette Gerritsen,24,2010,02/28/2010,0,1,0,1
2469,Mathieu Giroux,24,2010,02/28/2010,1,0,0,1
2470,Brian Hansen,19,2010,02/28/2010,0,1,0,1
2471,Masako Hozumi,23,2010,02/28/2010,0,1,0,1
2472,Clara Hughes,37,2010,02/28/2010,0,0,1,1
2473,Joji Kato,25,2010,02/28/2010,0,0,1,1
2474,Nao Kodaira,23,2010,02/28/2010,0,1,0,1
2475,Jonathan Kuck,19,2010,02/28/2010,0,1,0,1
2476,Simon Kuipers,27,2010,02/28/2010,0,0,1,1
2477,Lee Sang-Hwa,20,2010,02/28/2010,1,0,0,1
2478,Lucas Makowsky,22,2010,02/28/2010,1,0,0,1
2479,Trevor Marsicano,20,2010,02/28/2010,0,1,0,1
2480,Katrin Mattscherodt,28,2010,02/28/2010,1,0,0,1
2481,Denny Morrison,24,2010,02/28/2010,1,0,0,1
2482,Keiichiro Nagashima,27,2010,02/28/2010,0,1,0,1
2483,Christine Nesbitt,24,2010,02/28/2010,1,0,0,1
2484,Maki Tabata,35,2010,02/28/2010,0,1,0,1
2485,Laurine van Riessen,22,2010,02/28/2010,0,0,1,1
2486,Wang Beixing,24,2010,02/28/2010,0,0,1,1
2487,Katarzyna Wójcicka-Bachleda-Curus,30,2010,02/28/2010,0,0,1,1
2488,Jenny Wolf,31,2010,02/28/2010,0,1,0,1
2489,Katarzyna Wozniak,20,2010,02/28/2010,0,0,1,1
2490,Ireen Wüst,23,2010,02/28/2010,1,0,0,1
2491,Luiza Zlotkowska,23,2010,02/28/2010,0,0,1,1
2492,Yekaterina Abramova,23,2006,02/26/2006,0,0,1,1
2493,Matteo Anesi,21,2006,02/26/2006,1,0,0,1
2494,Daniela Anschütz-Thoms,31,2006,02/26/2006,1,0,0,1
2495,Varvara Barysheva,28,2006,02/26/2006,0,0,1,1
2496,Svetlana Boyarkina-Zhurova,34,2006,02/26/2006,1,0,0,1
2497,Arne Dankers,25,2006,02/26/2006,0,1,0,1
2498,Bob de Jong,29,2006,02/26/2006,1,0,0,1
2499,Stefano Donagrandi,29,2006,02/26/2006,1,0,0,1
2500,Dmitry Dorofeyev,29,2006,02/26/2006,0,1,0,1
2501,Steven Elm,30,2006,02/26/2006,0,1,0,1
2502,Renate Groenewold,29,2006,02/26/2006,0,1,0,1
2503,Lee Gang-Seok,20,2006,02/26/2006,0,0,1,1
2504,Galina Likhachova,28,2006,02/26/2006,0,0,1,1
2505,Yekaterina Lobysheva,20,2006,02/26/2006,0,0,1,1
2506,Denny Morrison,20,2006,02/26/2006,0,1,0,1
2507,Christine Nesbitt,20,2006,02/26/2006,0,1,0,1
2508,Lucille Opitz,28,2006,02/26/2006,1,0,0,1
2509,Jason Parker,30,2006,02/26/2006,0,1,0,1
2510,Shannon Rempel,21,2006,02/26/2006,0,1,0,1
2511,Ren Hui,22,2006,02/26/2006,0,0,1,1
2512,Rintje Ritsma,35,2006,02/26/2006,0,0,1,1
2513,Ippolito Sanfratello,32,2006,02/26/2006,1,0,0,1
2514,Marianne Timmer,31,2006,02/26/2006,1,0,0,1
2515,Mark Tuitert,25,2006,02/26/2006,0,0,1,1
2516,Sabine Völker,32,2006,02/26/2006,1,0,0,1
2517,Svetlana Vysokova,33,2006,02/26/2006,0,0,1,1
2518,Wang Manli,32,2006,02/26/2006,0,1,0,1
2519,Justin Warsylewicz,20,2006,02/26/2006,0,1,0,1
2520,Jens Boden,23,2002,02/24/2002,0,0,1,1
2521,Jan Bos,26,2002,02/24/2002,0,1,0,1
2522,Kip Carpenter,22,2002,02/24/2002,0,0,1,1
2523,Joey Cheek,22,2002,02/24/2002,0,0,1,1
2524,Casey FitzRandolph,27,2002,02/24/2002,1,0,0,1
2525,Anni Friesinger-Postma,25,2002,02/24/2002,1,0,0,1
2526,Monique Garbrecht-Enfeldt,33,2002,02/24/2002,0,1,0,1
2527,Renate Groenewold,25,2002,02/24/2002,0,1,0,1
2528,Clara Hughes,29,2002,02/24/2002,0,0,1,1
2529,Cindy Klassen,22,2002,02/24/2002,0,0,1,1
2530,Catriona Le May Doan,31,2002,02/24/2002,1,0,0,1
2531,Gianni Romme,29,2002,02/24/2002,0,1,0,1
2532,Hiroyasu Shimizu,27,2002,02/24/2002,0,1,0,1
2533,Gretha Smit,26,2002,02/24/2002,0,1,0,1
2534,Lasse Sætre,27,2002,02/24/2002,0,0,1,1
2535,Ådne Søndrål,30,2002,02/24/2002,0,0,1,1
2536,Gerard van Velde,30,2002,02/24/2002,1,0,0,1
2537,Chris Witty,26,2002,02/24/2002,1,0,0,1
2538,Monica Abbott,23,2008,08/24/2008,0,1,0,1
2539,Sandy Allen-Lewis,29,2008,08/24/2008,0,0,1,1
2540,Laura Berg,33,2008,08/24/2008,0,1,0,1
2541,Jodie Bowering,26,2008,08/24/2008,0,0,1,1
2542,Crystl Bustos,30,2008,08/24/2008,0,1,0,1
2543,Kylie Cronk,24,2008,08/24/2008,0,0,1,1
